	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3
Bloc1s6	337	179	253	72	225	54	0	262	273
Blvra	510	248	350	128	218	86	0	466	494
Blvrb	329	153	273	74	175	78	0	224	591
Blzf1	167	70	168	47	171	48	0	256	130
Bmf	285	90	260	72	200	32	0	279	181
Bmi1	31	28	35	9	59	6	0	41	50
Bmp1	9	7	16	1	18	3	0	3	17
Bmp10	2	9	0	0	4	0	0	4	3
Bmp15	3	1	0	0	2	0	0	0	0
Bmp2	1	0	1	1	0	0	0	7	19
Bmp2k	348	141	385	120	73	64	0	342	287
Bmp3	7	11	1	2	3	0	0	8	18
Bmp4	11	1	0	0	4	0	0	0	9
Bmp5	6	6	3	5	13	0	0	2	0
Bmp6	1	5	2	0	5	1	0	0	1
Bmp7	4	3	1	1	1	0	0	0	2
Bmp8a	0	1	0	0	2	0	0	3	2
Bmp8b	4	2	3	2	2	1	0	2	6
Bmper	10	11	0	3	9	1	0	0	12
Bmpr1a	23	0	8	6	13	2	0	1	17
Bmpr1b	3	7	5	2	13	0	0	4	8
Bmpr2	729	303	724	325	473	206	0	592	661
Bms1	361	146	341	132	306	76	0	320	360
Bmt2	196	118	107	92	100	35	0	116	76
Bmx	297	111	152	74	175	59	0	222	128
Bmyc	34	12	30	13	8	8	0	15	26
Bnc1	7	4	8	0	0	1	0	0	0
Bnc2	6	6	12	2	11	0	0	1	2
Bnip1	115	37	121	33	78	19	0	145	102
Bnip2	1789	804	1423	515	1059	366	0	1667	1503
Bnip3	52	24	30	11	4	20	0	46	55
Bnip3l	860	448	986	360	905	248	0	1039	869
Bnipl	8	6	3	2	5	2	0	2	1
Boc	6	2	3	6	4	1	0	5	8
Bod1	26	14	21	4	31	3	0	19	24
Bod1l	402	179	394	105	309	85	0	286	374
Bok	0	0	4	0	0	2	0	2	5
Bola1	58	25	50	14	18	23	0	53	34
Bola2	206	58	175	53	142	41	0	180	176
Bola3	66	14	35	14	59	12	0	76	90
Boll	3	7	1	0	5	4	0	0	2
Bop1	357	158	362	72	318	72	0	408	432
Bora	64	35	63	10	41	9	0	28	99
Borcs5	190	98	164	33	61	22	0	192	103
Borcs6	205	106	227	33	20	22	0	130	36
Borcs7	143	52	118	45	58	28	0	190	63
Borcs8	235	62	227	54	97	30	0	157	161
Bpgm	73	27	44	17	48	7	0	72	50
Bphl	180	96	154	28	34	31	0	128	107
Bpi	3	1	1	0	3	0	0	1	1
Bpifa1	2	1	3	0	7	0	0	1	5
Bpifa2	0	1	0	0	2	0	0	0	3
Bpifa3	4	0	2	2	0	1	0	1	1
Bpifa5	2	1	4	0	0	0	0	4	5
Bpifa6	3	0	0	1	1	0	0	3	0
Bpifb1	5	2	3	0	1	0	0	2	6
Bpifb2	4	9	1	0	4	0	0	3	1
Bpifb3	1	5	0	0	0	1	0	3	4
Bpifb4	1	4	0	0	0	0	0	5	2
Bpifb5	0	2	0	0	0	0	0	1	9
Bpifb6	0	1	1	0	0	0	0	4	0
Bpifb9a	0	3	1	0	2	0	0	2	1
Bpifb9b	2	0	0	0	3	1	0	0	1
Bpifc	0	7	8	0	1	1	0	3	8
Bpnt1	172	83	138	35	85	28	0	111	195
Bptf	506	207	467	170	430	104	0	413	571
Braf	461	252	347	176	344	90	0	447	357
Brap	502	235	582	82	149	44	0	309	175
Brat1	403	203	486	86	163	83	0	273	252
Brca1	8	16	1	3	26	4	0	5	16
Brca2	65	36	59	22	75	17	0	56	59
Brcc3	376	150	284	94	255	59	0	387	363
Brd1	252	120	339	133	216	87	0	271	278
Brd2	1577	596	1567	432	1325	277	0	1127	1196
Brd3	372	159	452	104	266	76	0	278	324
Brd3os	5	3	4	0	0	4	0	10	3
Brd4	783	278	618	232	609	151	1	637	617
Brd7	912	414	744	248	870	168	0	662	540
Brd8	480	206	439	109	346	77	0	247	460
Brd9	334	111	283	116	305	62	0	264	402
Brdt	3	3	3	0	2	2	0	7	3
Brf1	434	150	341	76	168	59	0	311	221
Brf2	45	22	49	7	21	4	0	29	16
Bri3	66	21	54	21	17	8	0	39	34
Bri3bp	982	368	752	233	649	148	0	932	442
Bricd5	0	0	0	0	0	0	0	0	0
Brinp1	3	11	4	1	0	1	0	1	14
Brinp2	9	13	4	4	9	0	0	17	9
Brinp3	2	5	5	2	0	0	0	4	11
Brip1	20	14	24	1	19	3	0	23	42
Brix1	228	112	172	53	120	57	0	280	225
Brk1	1372	601	1287	379	713	233	0	1182	1019
Brms1	435	190	305	88	235	55	0	393	325
Brms1l	180	42	176	45	77	28	0	145	100
Brox	381	164	256	109	186	90	0	303	369
Brpf1	589	256	469	150	455	84	0	694	342
Brpf3	53	19	54	20	51	9	0	58	63
Brs3	2	4	3	4	0	0	0	0	0
Brsk1	23	15	42	10	10	10	0	28	24
Brsk2	14	8	9	2	13	1	0	8	13
Brwd1	411	243	290	168	245	101	0	422	435
Brwd3	133	59	133	78	106	38	0	146	119
Bscl2	1337	515	1252	328	367	241	0	1287	637
Bsdc1	289	124	241	73	231	43	0	225	255
Bsg	1140	393	936	256	496	155	0	934	1289
Bsn	36	18	15	4	25	3	0	3	23
Bsnd	0	3	1	0	0	0	0	0	0
Bsph1	1	1	0	4	0	0	0	0	0
Bsph2	0	2	1	0	4	1	0	1	2
Bspry	1	6	0	6	4	1	0	2	3
Bst1	421	104	149	65	8	45	0	827	296
Bst2	539	250	673	112	111	111	0	292	411
Bsx	0	0	0	0	0	0	0	0	0
Btaf1	748	319	264	236	268	86	0	606	518
Btbd1	130	37	102	27	73	12	0	89	71
Btbd10	300	137	249	98	193	68	0	180	187
Btbd11	12	4	9	2	16	2	0	10	15
Btbd16	7	5	3	0	12	2	0	1	4
Btbd17	4	2	0	0	1	2	0	0	18
Btbd18	10	0	3	1	3	0	0	6	4
Btbd19	47	41	27	12	41	7	0	79	86
Btbd2	82	25	40	9	18	9	0	43	24
Btbd3	32	26	51	9	23	3	0	20	41
Btbd35f1	0	0	0	0	0	0	0	0	0
Btbd35f10	0	0	0	0	0	0	0	0	0
Btbd35f11	0	0	0	0	0	0	0	0	0
Btbd35f12	0	0	0	0	0	0	0	0	0
Btbd35f13	0	0	0	0	0	0	0	0	0
Btbd35f14	0	0	0	0	0	0	0	0	0
Btbd35f15	0	0	0	0	0	0	0	0	0
Btbd35f16	0	0	0	0	0	0	0	0	0
Btbd35f17	0	0	0	0	0	0	0	0	0
Btbd35f18	0	0	0	0	0	0	0	0	0
Btbd35f19	0	0	0	0	0	0	0	0	0
Btbd35f2	0	0	0	0	0	0	0	0	0
Btbd35f20	0	0	0	0	0	0	0	0	0
Btbd35f21	0	0	0	0	0	0	0	0	0
Btbd35f22	0	0	0	0	0	0	0	0	0
Btbd35f23	0	0	0	0	0	0	0	0	0
Btbd35f24	0	0	0	0	0	0	0	0	0
Btbd35f25	0	0	0	0	0	0	0	0	0
Btbd35f26	0	0	0	0	0	0	0	0	0
Btbd35f27	0	0	0	0	0	0	0	0	0
Btbd35f28	0	0	0	0	0	0	0	0	0
Btbd35f29	0	0	0	0	0	0	0	0	0
Btbd35f3	0	0	0	0	0	0	0	0	0
Btbd35f30	0	0	0	0	0	0	0	0	0
Btbd35f4	0	0	0	0	0	0	0	0	0
Btbd35f5	0	0	0	0	0	0	0	0	0
Btbd35f6	0	0	0	0	0	0	0	0	0
Btbd35f7	0	0	0	0	0	0	0	0	0
Btbd35f8	0	0	0	0	0	0	0	1	0
Btbd35f9	0	0	0	0	0	0	0	0	0
Btbd6	42	16	27	5	8	2	0	25	41
Btbd7	334	165	265	137	302	69	0	279	331
Btbd8	11	9	17	8	8	0	0	9	16
Btbd9	440	158	411	141	403	102	0	363	434
Btc	6	7	0	2	2	1	0	1	2
Btd	122	51	118	22	82	14	0	49	86
Btf3	553	274	537	146	172	110	0	557	396
Btf3l4	111	66	115	37	97	24	0	136	84
Btg1	1492	722	1257	489	1509	210	0	1726	2223
Btg1-ps1	0	0	0	0	0	0	0	1	2
Btg1-ps2	0	0	0	0	0	0	0	4	0
Btg2	1770	763	1592	469	1894	361	0	1155	5663
Btg3	0	0	6	0	1	0	0	0	6
Btg4	9	3	2	0	0	2	0	1	2
Btk	1098	437	1150	308	802	229	0	795	821
Btla	584	295	401	135	97	91	0	146	79
Btn1a1	3	2	4	2	7	0	0	2	1
Btn2a2	1	1	0	1	3	0	0	0	4
Btnl1	1	4	3	0	7	0	0	2	4
Btnl10	2	0	0	0	3	0	0	0	0
Btnl2	8	1	13	0	7	1	0	5	8
Btnl4	0	3	4	0	2	1	0	0	0
Btnl6	5	1	0	1	3	0	0	4	11
Btnl9	17	7	9	6	5	1	0	19	5
Btrc	149	110	148	49	172	26	0	111	196
Bub1	2	8	2	8	32	5	0	5	113
Bub1b	69	53	86	18	100	14	0	42	297
Bub3	899	348	838	269	628	195	0	872	833
Bud13	119	37	107	29	82	23	0	82	76
Bud23	285	111	201	53	122	46	0	255	185
Bud31	250	98	230	76	164	38	0	226	204
Bves	1	2	10	4	1	0	0	15	4
Bysl	265	96	134	67	112	35	0	213	116
Bzw1	1799	830	1439	593	1012	385	0	1898	1604
Bzw2	178	80	118	53	42	28	0	177	166
C030005K15Rik	1	2	0	0	1	0	0	0	0
C130026I21Rik	2	7	7	3	2	2	0	12	6
C130032M10Rik	0	0	0	0	0	0	0	0	0
C130050O18Rik	697	204	420	137	583	95	0	547	451
C130060K24Rik	3	5	3	0	10	2	0	0	4
C130073F10Rik	2	2	0	0	0	0	0	0	0
C130074G19Rik	0	4	0	0	3	0	0	1	2
C130079G13Rik	13	2	14	2	0	1	0	4	12
C1d	704	333	597	222	243	127	0	717	419
C1galt1	235	122	229	62	286	80	0	214	162
C1galt1c1	1235	565	778	243	120	152	0	560	304
C1qa	17	1	4	2	0	0	0	96	8666
C1qb	215	25	11	16	0	5	1	770	14855
C1qbp	228	130	208	71	101	59	0	294	487
C1qc	57	17	0	1	0	1	1	162	3958
C1ql1	0	0	0	0	0	0	0	0	0
C1ql2	1	1	0	0	4	0	0	0	4
C1ql3	0	1	0	0	9	2	0	0	0
C1ql4	0	0	0	0	0	0	0	0	1
C1qtnf1	6	6	6	0	3	0	0	1	6
C1qtnf12	30	12	48	15	12	9	0	26	51
C1qtnf2	3	0	0	0	0	0	0	0	1
C1qtnf3	7	9	6	0	0	0	0	0	0
C1qtnf4	0	0	0	0	0	0	0	0	0
C1qtnf5	0	0	0	0	0	0	0	0	0
C1qtnf6	4	2	7	1	0	1	0	1	8
C1qtnf7	4	5	1	0	9	1	0	1	0
C1qtnf9	3	2	0	1	2	0	0	0	2
C1ra	28	13	17	7	1	4	0	54	97
C1rb	0	1	0	0	0	0	0	0	1
C1rl	193	16	88	18	2	8	0	183	79
C1s1	0	3	3	0	2	2	0	0	5
C1s2	5	1	3	0	6	1	0	1	1
C2	2	2	2	2	2	0	0	2	6
C2cd2	84	60	50	23	15	10	0	85	73
C2cd2l	78	15	74	8	34	7	0	61	42
C2cd3	380	137	334	129	457	71	0	275	343
C2cd4a	2	0	0	0	0	0	0	1	0
C2cd4b	0	0	0	0	0	0	0	0	0
C2cd4c	4	1	6	0	0	2	0	0	1
C2cd4d	0	1	0	0	2	0	0	0	0
C2cd5	520	203	449	163	429	117	0	441	420
C2cd6	1	1	2	0	1	0	0	2	6
C3	4144	1776	3603	800	397	680	0	2372	1185
C330007P06Rik	140	61	141	37	121	17	0	125	141
C330018D20Rik	98	44	72	30	63	12	0	41	122
C330021F23Rik	4	3	6	4	0	0	0	2	1
C330027C09Rik	4	3	15	6	45	8	0	12	79
C3ar1	136	31	42	21	14	8	0	368	2573
C430049E01Rik	0	1	0	0	3	0	0	0	1
C4b	6	1	3	9	12	2	0	236	212
C4bp	8	5	7	2	15	1	0	8	5
C530008M17Rik	8	9	4	1	8	3	0	19	18
C530025M09Rik	0	0	0	0	0	0	0	0	0
C5ar1	406	75	159	65	298	58	0	1324	2411
C5ar2	78	12	35	10	73	7	0	129	174
C6	11	10	8	1	4	1	0	1	20
C7	10	0	2	1	7	1	0	1	9
C730034F03Rik	15	2	4	0	10	3	0	10	10
C77080	8	0	5	0	5	0	0	5	20
C87414	0	0	1	0	0	0	0	0	2
C87436	136	93	234	50	123	39	0	144	135
C87499	4	9	1	6	7	1	0	9	3
C87977	1	13	0	1	13	1	0	7	8
C8a	15	11	2	2	6	0	0	0	21
C8b	10	5	9	0	12	0	0	3	7
C8g	20	9	8	10	19	4	0	19	27
C9	5	1	4	1	7	1	0	4	3
CK137956	1	4	0	0	3	0	0	1	2
CN725425	1	4	3	0	3	0	0	0	0
Caap1	43	22	77	10	48	7	0	26	23
Cab39	380	177	325	103	331	89	0	398	362
Cab39l	422	171	343	97	255	82	0	265	354
Cabcoco1	2	0	0	0	2	0	0	0	2
Cabin1	821	415	749	226	328	181	0	789	592
Cables1	3	7	10	2	14	1	0	9	3
Cables2	58	26	32	16	61	5	0	25	19
Cabp1	2	2	0	1	5	1	0	0	5
Cabp2	0	0	0	0	0	0	0	0	0
Cabp4	1	0	0	0	0	0	0	1	1
Cabp5	2	1	1	1	1	0	0	1	0
Cabp7	1	0	1	0	0	1	0	2	0
Cabs1	0	0	0	0	0	0	0	0	1
Cabyr	14	1	6	2	0	0	0	5	13
Cacfd1	356	178	362	103	224	95	0	403	229
Cachd1	12	6	6	4	7	5	0	4	5
Cacna1a	12	7	11	3	9	1	0	6	17
Cacna1b	16	11	9	1	23	1	0	2	10
Cacna1c	10	15	2	5	19	5	0	10	27
Cacna1d	123	47	104	54	59	24	0	84	116
Cacna1e	28	30	16	11	29	0	0	15	28
Cacna1f	20	17	44	6	14	6	0	14	36
Cacna1g	2	2	12	0	3	0	0	0	9
Cacna1h	0	1	0	1	3	1	0	2	2
Cacna1i	2	4	3	2	1	0	0	1	10
Cacna1s	7	3	2	0	12	1	0	6	13
Cacna2d1	8	21	3	5	12	8	0	5	9
Cacna2d2	2	4	1	0	1	0	0	0	4
Cacna2d3	8	13	6	1	8	4	0	5	11
Cacna2d4	7	2	9	7	22	2	0	6	9
Cacnb1	25	17	28	9	5	4	0	1	12
Cacnb2	18	10	5	2	40	3	0	12	9
Cacnb3	4	0	1	0	0	2	0	2	0
Cacnb4	9	7	10	4	12	3	0	2	12
Cacng1	0	0	0	0	2	0	0	1	0
Cacng2	1	6	3	0	7	0	0	0	1
Cacng3	1	0	0	1	0	0	0	0	2
Cacng4	0	0	0	0	2	0	0	0	0
Cacng5	8	1	0	3	1	0	0	0	2
Cacng6	0	0	0	0	0	0	0	0	0
Cacng7	0	0	0	0	0	0	0	0	0
Cacng8	0	0	0	0	0	0	0	0	0
Cactin	295	103	195	52	67	22	0	217	105
Cacul1	398	228	361	145	255	95	0	375	267
Cacybp	567	226	553	196	492	117	0	400	659
Cad	105	13	57	18	69	13	0	45	186
Cadm1	17	8	9	8	24	3	0	11	457
Cadm2	5	10	11	4	3	4	0	6	19
Cadm3	30	11	13	2	36	3	0	4	15
Cadm4	2	1	3	4	5	1	0	1	1
Cadps	20	9	15	4	21	2	0	12	27
Cadps2	19	19	3	2	14	1	0	8	8
Cage1	7	9	6	3	20	4	0	6	11
Calb1	7	9	2	0	7	0	0	0	10
Calb2	0	0	0	2	0	0	0	0	0
Calca	0	1	1	0	2	0	0	5	0
Calcb	2	1	2	0	0	0	0	4	2
Calcoco1	184	87	245	64	119	48	0	159	212
Calcoco2	5	3	2	0	6	1	0	0	0
Calcr	5	5	6	3	2	0	0	7	4
Calcrl	204	148	133	42	360	65	0	114	192
Cald1	23	23	8	13	13	11	0	95	25
Calhm1	0	0	4	0	0	1	0	2	0
Calhm2	1400	650	1168	408	1249	337	0	710	849
Calhm3	0	0	0	0	1	0	0	0	0
Calm1	7102	2905	4981	2224	6949	1231	2	5550	8380
Calm2	1836	751	1523	500	1291	331	0	1587	1869
Calm3	388	134	340	79	159	54	0	324	342
Calm4	0	0	0	0	0	0	0	0	0
Calm5	0	4	0	0	0	0	0	0	0
Calml3	0	2	2	0	0	0	0	0	0
Calml4	10	7	9	5	4	2	0	13	14
Caln1	9	6	10	1	12	0	0	3	5
Calr	2042	613	1011	404	907	275	0	1568	2744
Calr3	3	0	11	1	8	1	0	4	4
Calr4	4	2	6	2	7	1	0	4	1
Calu	1011	373	620	252	516	161	0	881	1070
Caly	3	2	0	0	4	0	0	2	1
Camk1	594	275	442	92	58	30	0	209	277
Camk1d	1979	745	1774	558	1032	330	0	1758	1161
Camk1g	2	3	0	2	5	0	0	0	10
Camk2a	11	5	8	0	0	0	0	1	9
Camk2b	27	7	53	18	34	10	0	14	10
Camk2d	2148	566	1532	403	997	237	0	2485	1431
Camk2g	385	103	263	50	84	59	0	375	301
Camk2n1	3	2	5	5	3	0	0	3	19
Camk2n2	0	0	0	0	0	0	0	1	0
Camk4	69	22	7	11	35	6	0	25	20
Camkk1	37	7	16	5	20	4	0	42	129
Camkk2	1024	510	1046	264	428	164	0	433	319
Camkmt	40	32	46	17	88	9	0	36	65
Camkv	5	2	0	1	3	0	0	0	0
Caml	139	82	218	51	109	36	0	155	149
Camp	0	0	1	1	1	0	0	400	0
Camsap1	41	26	43	15	11	8	0	31	39
Camsap2	153	51	131	37	110	38	0	128	211
Camsap3	12	2	3	4	16	0	0	15	0
Camta1	96	43	58	22	108	12	0	95	91
Camta2	678	291	583	177	541	97	0	614	765
Cand1	431	170	373	120	171	39	0	441	259
Cand2	7	3	5	2	15	3	0	0	12
Cant1	430	192	423	102	343	90	0	372	537
Canx	4237	1983	3514	1624	2471	948	1	4212	5627
Cap1	1915	731	1750	451	1122	365	0	1400	1467
Cap2	7	9	1	1	7	0	0	4	3
Capg	2663	1266	2908	679	14	560	0	1784	1925
Capn1	168	77	124	37	147	26	0	104	75
Capn10	46	29	49	9	16	23	0	60	50
Capn11	6	5	1	2	0	0	0	6	3
Capn12	9	2	18	5	15	1	0	21	4
Capn13	4	5	1	1	0	0	0	1	6
Capn15	101	47	140	31	49	23	0	104	138
Capn2	2316	881	1550	519	660	412	0	1377	878
Capn3	15	2	19	1	17	3	0	32	29
Capn5	13	3	11	2	10	0	0	20	38
Capn6	1	2	3	2	22	0	0	1	4
Capn7	595	272	544	167	394	136	0	472	439
Capn8	14	2	3	2	4	1	0	7	3
Capn9	0	0	3	0	4	0	0	2	2
Capns1	452	158	423	98	320	62	0	349	356
Capns2	9	10	2	3	26	1	0	14	19
Caprin1	2135	869	1701	603	1297	438	0	1844	2417
Caprin2	42	10	25	22	23	2	0	11	37
Caps2	8	2	3	0	2	0	0	8	6
Capsl	12	4	5	5	4	0	0	1	3
Capza1	696	266	507	169	330	133	0	566	492
Capza2	11445	5470	9200	3578	4426	2673	1	9902	7201
Capza3	3	0	0	0	10	0	0	3	0
Capzb	5109	2010	4487	1232	3432	878	0	3925	4428
Car1	3	1	1	1	0	0	0	3	1
Car10	6	3	10	5	11	1	0	5	13
Car11	0	1	0	0	3	0	0	0	1
Car12	20	10	2	5	16	1	0	10	9
Car13	8	17	29	6	0	8	0	4	89
Car14	5	3	0	1	3	0	0	6	0
Car15	4	0	2	0	1	1	0	4	1
Car2	48	8	0	2	6	0	0	13	12
Car3	1	7	4	0	8	0	0	2	4
Car4	3	0	0	0	2	0	0	1	7
Car5a	4	1	0	0	1	0	0	0	3
Car5b	26	2	4	3	9	6	0	19	11
Car6	2	3	9	1	3	0	0	3	22
Car7	4	2	7	0	5	9	0	0	11
Car8	5	4	6	1	0	2	0	2	4
Car9	25	17	37	4	12	5	0	34	39
Card10	150	30	75	15	54	12	0	32	37
Card11	41	11	4	3	21	3	0	17	65
Card14	0	6	15	4	9	2	0	13	3
Card19	465	170	559	92	112	69	0	517	317
Card6	131	50	129	30	118	33	0	151	73
Card9	835	344	665	199	397	113	0	805	589
Carf	83	52	58	17	68	13	0	68	103
Carhsp1	325	103	176	98	144	43	0	416	330
Carm1	101	34	120	32	106	26	0	132	99
Carmil1	18	17	18	13	1	5	0	15	84
Carmil2	20	2	5	5	13	5	0	5	2
Carmil3	0	1	5	1	3	0	0	0	1
Carnmt1	17	6	16	1	2	0	0	3	5
Carns1	0	0	0	1	0	0	0	0	0
Cars	186	97	139	46	112	32	0	215	232
Cars2	246	99	178	64	158	35	0	156	187
Cartpt	0	0	0	2	0	0	0	0	0
Casc1	22	21	8	9	30	4	0	18	14
Casc3	278	71	197	48	129	27	0	108	161
Casc4	6	6	9	5	7	3	0	10	8
Casd1	135	48	110	30	128	13	0	85	100
Cask	416	177	407	116	171	90	0	459	184
Caskin1	7	8	10	0	5	2	0	5	3
Caskin2	22	4	6	0	12	0	0	0	21
Casp1	1149	526	1105	383	842	249	0	1058	807
Casp12	12	9	36	12	9	10	0	56	9
Casp14	2	1	1	0	1	0	0	0	0
Casp2	810	308	819	256	505	155	0	642	397
Casp3	490	245	689	140	326	155	0	523	403
Casp4	926	390	913	240	332	218	0	503	490
Casp6	326	119	326	99	88	38	0	294	188
Casp7	178	71	133	39	139	38	0	136	182
Casp8	1169	488	968	236	331	203	0	838	838
Casp8ap2	205	111	224	63	171	28	0	243	229
Casp9	469	208	311	100	237	59	0	300	290
Casq1	5	11	0	4	5	0	0	5	2
Casq2	0	5	2	1	0	0	0	6	6
Casr	2	4	5	0	1	2	0	5	9
Cass4	168	65	192	31	19	38	0	128	107
Cast	1491	743	1353	462	758	342	0	1413	1124
Casz1	71	19	49	13	40	6	0	62	42
Cat	1218	475	1056	290	1062	230	0	762	1123
Catip	6	4	3	0	3	2	0	6	11
Catsper1	3	3	0	0	2	0	0	1	0
Catsper2	9	13	7	2	29	5	0	10	15
Catsper3	5	3	3	0	2	0	0	4	4
Catsper4	2	0	0	0	0	0	0	2	8
Catsperb	11	9	4	5	7	1	0	4	4
Catsperd	7	2	1	0	9	0	0	0	5
Catsperg1	22	11	22	3	16	2	0	4	11
Catsperg2	4	1	2	5	7	1	0	7	6
Catsperz	1	0	0	0	0	0	0	0	2
Cav1	13	2	0	0	0	2	0	3	100
Cav2	181	106	126	44	6	51	0	114	230
Cav3	2	0	0	0	1	0	0	0	0
Cavin1	2	2	1	1	6	1	0	77	51
Cavin2	10	16	16	0	10	8	0	42	31
Cavin3	0	0	0	1	1	0	0	3	1
Cavin4	0	0	2	0	0	0	0	0	3
Cbarp	3	0	11	4	3	2	0	0	7
Cbfa2t2	220	131	221	88	191	56	0	232	230
Cbfa2t3	551	133	548	173	1063	102	0	402	502
Cbfb	505	202	458	153	279	104	0	451	378
Cbl	2650	1078	1998	699	1498	423	0	2244	1817
Cblb	570	234	645	225	1841	140	0	1050	1512
Cblc	0	2	0	0	3	0	0	0	1
Cbll1	131	46	175	55	113	31	0	153	98
Cbln1	0	0	0	0	1	2	0	0	0
Cbln2	5	2	2	0	5	2	0	0	7
Cbln3	7	5	1	0	4	0	0	2	4
Cbln4	2	3	0	0	0	0	0	0	0
Cbr1	46	24	56	14	34	13	0	29	65
Cbr2	48	21	45	6	3	12	0	23	263
Cbr3	52	13	41	6	20	3	0	39	46
Cbr4	101	31	66	11	28	12	0	73	82
Cbs	4	3	2	1	7	1	0	1	0
Cbwd1	47	10	11	13	34	4	0	40	52
Cbx1	181	50	138	39	123	20	0	114	146
Cbx2	13	2	9	4	1	0	0	1	10
Cbx3	87	58	128	36	116	23	0	111	113
Cbx4	95	40	83	40	145	5	0	52	77
Cbx5	166	63	69	38	231	20	0	105	365
Cbx6	33	25	43	6	5	9	0	10	29
Cbx7	137	58	99	18	72	20	0	80	89
Cbx8	84	53	100	25	95	20	0	32	54
Cby1	56	23	86	14	34	10	0	52	53
Cby3	3	1	4	0	1	2	0	1	0
Cc2d1a	88	48	92	15	71	17	0	124	96
Cc2d1b	222	70	198	67	196	64	0	243	190
Cc2d2a	22	13	12	5	26	8	0	27	19
Cc2d2b	15	7	5	1	7	0	0	10	11
Ccar1	848	384	760	272	525	167	0	791	937
Ccar2	352	136	252	79	181	54	0	311	261
Ccbe1	6	3	1	1	8	0	0	6	22
Ccdc102a	128	67	173	25	15	42	0	60	68
Ccdc103	0	0	0	2	5	0	0	0	0
Ccdc105	0	0	2	0	0	0	0	1	2
Ccdc106	0	0	1	0	0	0	0	0	0
Ccdc107	71	25	50	6	58	19	0	64	90
Ccdc110	2	1	0	0	0	1	0	1	7
Ccdc112	11	1	0	7	4	0	0	1	11
Ccdc113	0	1	4	0	0	0	0	0	1
Ccdc114	19	9	23	5	28	2	0	21	8
Ccdc115	360	143	273	82	103	66	0	426	224
Ccdc116	6	6	8	6	4	0	0	6	7
Ccdc117	360	167	456	72	144	34	0	206	114
Ccdc12	614	253	691	196	380	138	0	543	405
Ccdc120	0	0	0	0	0	0	0	0	2
Ccdc121	0	1	0	0	0	0	0	0	5
Ccdc122	28	10	20	4	6	1	0	17	15
Ccdc124	303	141	232	79	181	56	0	211	222
Ccdc125	457	167	310	147	220	65	0	279	164
Ccdc126	37	19	19	7	20	17	0	46	70
Ccdc127	259	116	295	88	255	82	0	274	297
Ccdc129	8	9	9	0	7	2	0	13	2
Ccdc13	4	1	0	0	1	0	0	0	5
Ccdc130	147	67	122	44	108	24	0	122	114
Ccdc134	136	39	110	23	97	29	0	106	224
Ccdc136	8	2	3	0	0	2	0	5	4
Ccdc137	180	54	143	41	101	29	0	102	172
Ccdc138	37	11	45	5	13	13	0	24	12
Ccdc14	9	9	11	2	17	0	0	34	50
Ccdc141	22	22	23	9	29	5	0	14	26
Ccdc142	5	4	4	1	3	3	0	5	0
Ccdc144b	17	7	7	4	6	1	0	9	0
Ccdc146	62	17	30	8	40	5	0	53	21
Ccdc148	8	5	3	4	4	2	0	2	1
Ccdc149	4	0	1	0	2	2	0	1	3
Ccdc15	56	14	23	9	54	13	0	26	61
Ccdc150	9	3	15	2	5	0	0	15	8
Ccdc151	2	0	0	0	2	0	0	0	1
Ccdc152	15	17	17	16	15	5	0	16	13
Ccdc153	4	1	2	0	7	0	0	2	1
Ccdc154	4	5	7	3	11	0	0	1	16
Ccdc155	3	1	5	0	4	0	0	3	7
Ccdc157	8	11	14	4	4	3	0	18	29
Ccdc158	5	10	11	6	25	1	0	4	21
Ccdc159	4	0	0	0	9	0	0	0	12
Ccdc160	0	0	0	0	0	0	0	0	0
Ccdc162	9	13	7	1	24	3	0	5	8
Ccdc163	100	55	122	35	122	34	0	66	157
Ccdc166	68	8	29	13	15	26	0	58	21
Ccdc167	37	15	25	15	45	8	0	46	34
Ccdc169	5	1	1	3	3	1	0	0	2
Ccdc17	63	27	63	15	51	11	0	51	69
Ccdc170	3	5	8	2	10	0	0	1	3
Ccdc171	74	40	61	10	109	14	0	52	94
Ccdc172	1	1	0	0	4	1	0	2	3
Ccdc173	12	4	20	4	7	1	0	6	7
Ccdc174	175	78	145	31	144	29	0	134	139
Ccdc175	4	5	5	1	3	0	0	1	0
Ccdc177	4	4	6	8	1	0	0	7	0
Ccdc178	3	9	3	2	3	1	0	1	3
Ccdc18	6	8	2	11	14	2	0	9	12
Ccdc180	64	49	65	30	39	17	0	100	22
Ccdc181	47	22	31	7	8	10	0	26	59
Ccdc182	0	0	0	0	0	0	0	0	0
Ccdc183	0	0	0	1	1	0	0	0	0
Ccdc184	4	1	0	2	3	1	0	0	0
Ccdc185	0	1	0	0	4	1	0	3	0
Ccdc186	310	99	244	101	213	76	0	280	346
Ccdc187	13	7	5	6	2	0	0	8	2
Ccdc188	0	0	0	0	0	0	0	0	0
Ccdc189	5	9	2	4	8	1	0	7	4
Ccdc190	0	0	0	0	0	0	0	0	0
