	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
Arl13a	0	3	0	1	0	0	2	3
Arl13b	127	133	141	140	139	213	118	129
Arl14	0	0	0	2	0	0	0	0
Arl14ep	268	231	132	167	193	110	225	233
Arl14epl	0	0	0	0	1	0	0	0
Arl15	157	128	74	91	93	136	148	149
Arl16	98	78	35	73	103	57	99	105
Arl2	65	76	32	33	44	78	69	60
Arl2bp	69	84	67	45	94	52	54	51
Arl3	71	47	37	39	32	86	50	48
Arl4a	61	99	61	67	96	62	59	61
Arl4c	250	330	225	244	286	386	250	317
Arl4d	12	12	5	13	10	0	1	3
Arl5a	123	136	96	70	106	102	109	130
Arl5b	153	181	86	104	100	223	170	147
Arl5c	624	840	540	562	635	741	258	346
Arl6	10	12	13	7	8	4	33	17
Arl6ip1	2006	2520	1494	1614	1802	1947	2135	2352
Arl6ip4	182	251	162	104	167	228	296	270
Arl6ip5	803	1034	574	671	756	1375	684	792
Arl6ip6	204	287	217	242	305	366	254	293
Arl8a	84	88	55	61	96	79	83	80
Arl8b	1119	1314	708	825	1218	969	1356	1513
Arl9	4	0	2	0	1	4	5	1
Armc1	279	277	256	181	303	385	335	377
Armc10	111	216	68	113	124	123	158	146
Armc12	1	1	0	1	0	0	1	0
Armc2	13	4	0	1	12	4	1	6
Armc3	19	16	28	13	15	29	21	21
Armc4	3	9	1	1	6	2	1	3
Armc5	98	209	116	128	161	123	199	207
Armc6	28	41	27	19	50	74	43	68
Armc7	237	238	152	156	231	152	222	271
Armc8	229	332	184	214	247	312	315	379
Armc9	44	30	22	31	30	46	81	66
Armcx1	1	10	4	0	3	9	0	9
Armcx2	10	9	4	5	15	8	5	17
Armcx3	23	20	15	20	15	45	28	28
Armcx4	2	2	1	1	2	1	0	0
Armcx5	49	63	41	26	45	32	67	50
Armcx6	5	15	0	1	3	0	1	5
Armt1	157	199	131	140	227	116	201	213
Arnt	449	482	338	418	480	296	681	623
Arnt2	5	6	6	6	8	0	4	2
Arntl	154	148	74	100	128	130	165	139
Arntl2	2	14	0	4	3	5	7	2
Arpc1a	827	1032	664	678	903	1174	1131	1133
Arpc1b	6164	6996	4498	4492	6072	7748	6327	7174
Arpc2	5082	6416	3863	4042	5039	6540	6073	5961
Arpc3	839	802	638	679	708	2201	983	1019
Arpc4	1777	2016	1252	1290	1704	2001	2078	2161
Arpc5	4625	5623	3497	3848	4950	5888	4892	5215
Arpc5l	407	658	316	319	454	357	422	451
Arpin	5	5	0	1	7	0	6	5
Arpp19	272	373	201	228	307	305	314	407
Arpp21	14	10	6	8	29	20	6	12
Arr3	3	0	0	0	1	0	3	2
Arrb1	668	880	479	575	647	437	424	653
Arrb2	134	138	104	99	121	212	195	187
Arrdc1	866	1096	600	650	873	694	927	971
Arrdc2	27	34	11	17	25	28	22	15
Arrdc3	657	413	603	428	321	212	474	750
Arrdc4	459	470	605	297	597	410	891	708
Arrdc5	1	0	0	0	0	2	0	0
Arsa	281	358	217	174	209	295	267	275
Arsb	102	164	70	90	93	95	62	90
Arsg	68	42	33	24	31	92	140	139
Arsi	120	164	65	70	133	51	37	89
Arsj	4	2	2	7	0	1	4	5
Arsk	229	263	141	165	183	156	256	276
Art1	0	0	0	5	0	0	0	4
Art2b	14	7	3	6	3	12	17	15
Art3	6	7	3	0	6	6	1	3
Art4	4	2	4	1	3	0	2	1
Art5	0	0	0	1	2	0	5	1
Artn	0	0	0	0	0	0	1	0
Arv1	29	25	6	13	19	11	33	25
Arvcf	2	0	0	3	1	1	1	1
Arx	2	0	0	0	1	0	0	0
Arxes1	0	0	0	0	0	0	0	0
Arxes2	0	0	0	0	1	0	0	0
As3mt	107	80	85	83	131	150	148	113
Asah1	4016	4002	3088	3566	3862	5482	4917	5284
Asah2	24	23	22	12	32	18	16	16
Asap1	1956	2459	1327	1543	1858	1330	1535	1922
Asap2	17	12	11	10	10	20	8	17
Asap3	1	6	2	1	0	0	1	2
Asb1	48	73	26	14	52	33	36	70
Asb10	2	2	1	0	7	1	6	2
Asb11	3	2	0	1	2	2	0	1
Asb12	0	1	0	0	2	0	0	2
Asb13	188	221	143	170	212	188	173	171
Asb14	8	3	4	11	4	2	7	3
Asb15	0	3	3	3	2	1	6	3
Asb16	0	1	0	0	1	2	3	0
Asb17	5	3	3	0	3	1	0	0
Asb18	7	2	4	0	0	2	0	3
Asb2	5	0	1	12	2	4	0	9
Asb3	163	198	115	154	188	195	131	170
Asb4	10	1	3	4	6	5	6	7
Asb5	3	9	2	2	10	9	1	3
Asb6	233	261	152	167	188	215	269	224
Asb7	82	118	61	50	75	60	69	84
Asb8	231	295	182	214	260	302	267	300
Asb9	4	1	0	0	0	0	1	1
Ascc1	177	287	176	189	191	285	243	224
Ascc2	290	278	177	239	234	233	310	335
Ascc3	476	629	334	395	490	344	504	540
Ascl1	0	0	0	0	0	0	0	0
Ascl2	14	15	9	9	8	5	6	3
Ascl3	0	0	0	4	0	0	0	2
Ascl4	0	1	0	0	1	1	1	0
Ascl5	0	0	0	0	0	0	0	0
Asf1a	62	68	44	45	67	80	59	60
Asf1b	3	17	12	7	28	18	22	36
Asgr1	1	2	1	0	0	3	0	0
Asgr2	3	11	4	1	4	2	1	3
Ash1l	611	808	485	552	804	768	660	738
Ash2l	119	226	103	58	114	99	104	96
Asic1	1	4	8	4	9	4	5	3
Asic2	3	4	1	0	9	1	1	0
Asic3	8	0	1	1	3	0	0	0
Asic4	0	0	0	1	0	0	0	0
Asic5	6	5	5	4	2	0	4	3
Asl	238	311	179	231	335	358	352	381
Asmt	0	0	0	0	0	0	0	0
Asna1	159	224	99	124	125	215	199	146
Asns	9	5	5	0	17	19	18	40
Asnsd1	43	28	27	36	31	38	47	40
Aspa	10	2	8	1	2	2	21	8
Aspdh	1	0	0	0	2	0	0	0
Aspg	2	0	0	1	2	1	1	0
Asph	522	612	356	480	482	390	363	447
Asphd1	2	8	4	0	3	0	5	4
Asphd2	2	0	0	2	3	0	0	0
Aspm	13	24	10	7	30	7	22	20
Aspn	3	4	4	1	8	0	1	1
Asprv1	0	1	0	0	0	0	3	2
Aspscr1	266	351	199	228	278	318	319	318
Asrgl1	108	112	81	81	103	90	98	103
Ass1	66	85	57	73	172	160	112	139
Aste1	57	71	57	66	90	74	84	89
Astl	1	2	1	1	3	10	2	5
Astn1	14	30	7	3	25	6	15	3
Astn2	0	10	0	8	15	4	1	3
Asxl1	271	300	168	172	217	217	306	247
Asxl2	452	635	326	339	480	483	504	488
Asxl3	11	3	3	4	13	5	18	16
Asz1	3	3	1	3	2	1	0	3
Atad1	632	664	414	534	646	561	681	748
Atad2	164	150	125	162	204	130	108	204
Atad2b	468	450	276	292	406	219	372	326
Atad3a	125	148	77	88	164	154	176	127
Atad5	22	15	19	16	31	28	33	38
Atat1	55	87	46	66	69	61	60	60
Atcay	0	2	4	0	14	0	1	2
Ate1	380	461	251	334	410	385	355	431
Atf1	113	171	114	100	153	193	201	188
Atf2	262	384	186	308	281	194	338	304
Atf3	952	753	566	527	664	6566	500	660
Atf4	517	642	419	394	574	904	605	579
Atf5	6	5	1	6	5	7	1	3
Atf6	1297	1322	764	934	1310	1016	1203	1383
Atf6b	450	513	268	328	402	262	380	423
Atf7	540	598	383	306	479	418	442	473
Atf7ip	1932	2279	1283	1450	2160	1030	1630	1904
Atf7ip2	2	2	4	4	5	1	5	5
Atg10	113	82	57	88	76	115	87	62
Atg101	364	384	284	278	412	431	495	441
Atg12	432	357	295	396	382	403	412	398
Atg13	358	381	216	247	326	298	346	364
Atg14	121	119	88	93	90	86	92	122
Atg16l1	323	410	234	253	300	241	353	332
Atg16l2	174	240	100	126	172	170	133	135
Atg2a	66	97	47	63	73	50	73	68
Atg2b	228	252	153	183	203	191	189	213
Atg3	1226	1351	724	669	1102	1363	1834	1422
Atg4a	36	40	26	41	39	48	37	63
Atg4a-ps	4	2	3	2	4	0	0	1
Atg4b	309	458	191	270	354	410	367	451
Atg4c	554	618	380	437	551	407	445	517
Atg4d	489	446	357	360	313	343	408	348
Atg5	475	489	315	342	467	428	506	606
Atg7	717	896	471	547	554	585	742	746
Atg9a	313	322	165	202	245	184	318	294
Atg9b	8	7	7	5	11	11	3	12
Atic	52	115	30	53	70	61	78	90
Atl1	10	7	6	3	3	0	9	13
Atl2	192	182	156	188	207	143	205	247
Atl3	578	631	301	407	487	340	628	600
Atm	103	123	66	69	118	83	96	95
Atmin	119	129	111	81	105	72	149	121
Atn1	3	2	1	0	0	3	0	1
Atoh1	1	0	0	0	1	1	4	1
Atoh7	1	0	1	0	0	0	0	0
Atoh8	3	1	0	0	5	0	0	0
Atox1	553	728	466	423	634	1068	459	589
Atp10a	85	113	53	61	66	40	63	58
Atp10b	9	9	5	5	29	0	8	10
Atp11a	195	158	86	90	166	260	459	436
Atp11b	844	953	582	666	900	453	982	912
Atp11c	167	178	86	129	127	74	185	180
Atp12a	2	5	5	0	5	0	2	2
Atp13a1	666	789	441	440	646	539	705	757
Atp13a2	998	1099	610	342	624	550	1158	913
Atp13a3	276	297	228	253	328	227	356	345
Atp13a4	21	4	10	4	20	0	5	7
Atp13a5	10	11	7	2	4	0	9	6
Atp1a1	381	560	362	256	505	1049	557	573
Atp1a2	12	4	3	2	16	4	2	4
Atp1a3	3379	4391	3012	2875	3483	1927	2165	2602
Atp1a4	3	2	6	3	2	1	4	0
Atp1b1	17	142	2	0	34	0	31	4
Atp1b2	0	0	0	0	0	2	0	1
Atp1b3	1699	1793	1078	1266	1657	2315	2073	2013
Atp1b4	0	4	0	1	4	0	5	0
Atp23	27	45	24	21	44	36	43	30
Atp2a1	8	20	5	2	5	5	2	1
Atp2a2	168	292	143	172	164	234	311	335
Atp2a3	741	1268	727	765	921	391	682	564
Atp2b1	3336	4104	2585	2833	3799	4078	2789	3298
Atp2b2	16	21	7	7	7	9	3	2
Atp2b3	1	3	0	3	2	0	2	2
Atp2b4	81	133	45	58	83	72	56	84
Atp2c1	924	997	665	708	1058	413	1013	1254
Atp2c2	2	0	4	1	5	0	4	2
Atp4a	0	0	0	0	5	0	0	1
Atp4b	0	0	0	1	1	0	1	0
Atp5a1	3220	3867	2235	2249	3272	3606	4037	4243
Atp5b	3526	3789	2314	2637	3552	4193	4004	4052
Atp5c1	2242	2777	1839	1811	2392	3167	2529	2795
Atp5d	915	1089	629	691	1058	1507	1081	1120
Atp5e	360	451	239	275	351	564	270	323
Atp5f1	1809	1859	1184	1382	1659	2550	2063	2266
Atp5g1	116	104	57	60	110	140	115	123
Atp5g2	28	37	19	30	39	46	33	31
Atp5g3	699	660	373	439	602	994	700	761
Atp5h	384	414	253	291	351	499	323	394
Atp5j	625	759	415	468	604	887	602	637
Atp5j2	341	409	208	222	337	429	286	319
Atp5k	70	99	58	63	77	107	55	59
Atp5l	64	114	40	50	53	36	81	64
Atp5o	332	434	264	266	302	436	429	369
Atp5s	26	17	15	19	17	26	20	20
Atp6ap1	2590	2777	1568	1986	2214	3210	3136	3240
Atp6ap1l	0	3	2	2	3	0	0	0
Atp6ap2	1573	1485	1014	1202	1563	2334	2081	2053
Atp6v0a1	336	457	137	201	265	161	725	706
Atp6v0a2	473	499	294	376	430	270	417	459
Atp6v0a4	1	8	2	1	13	6	5	2
Atp6v0b	975	1183	626	642	883	1406	1021	1033
Atp6v0c	81	85	53	38	82	146	104	126
Atp6v0d1	543	606	350	362	453	551	654	639
Atp6v0d2	2	1	2	6	5	3	153	17
Atp6v0e	1214	1572	941	1052	1248	1869	1189	1311
Atp6v0e2	1	2	0	0	5	0	0	1
Atp6v1a	1577	1524	944	1253	1380	1753	2231	2372
Atp6v1b1	4	7	1	0	0	0	1	1
Atp6v1b2	4198	4998	2747	3258	4056	4088	4072	4769
Atp6v1c1	573	650	324	420	530	639	731	689
Atp6v1c2	7	2	3	6	7	1	5	4
Atp6v1d	532	532	288	321	456	697	624	592
Atp6v1e1	1208	1522	808	911	1335	1560	1350	1384
Atp6v1e2	0	1	0	1	3	0	0	0
Atp6v1f	489	577	326	319	416	699	441	420
Atp6v1g1	344	310	187	266	263	413	331	379
Atp6v1g2	8	17	15	7	15	8	13	21
Atp6v1g3	0	4	3	0	9	0	0	3
Atp6v1h	503	637	376	438	565	691	668	702
Atp7a	579	692	403	517	518	561	608	748
Atp7b	3	2	5	5	7	0	13	0
Atp8a1	745	589	337	311	489	405	762	710
Atp8a2	8	7	6	3	16	17	6	3
Atp8b1	14	2	2	0	9	5	9	3
Atp8b2	166	200	84	101	194	87	101	162
Atp8b3	0	1	1	3	3	0	0	0
Atp8b4	1472	1500	860	1066	1315	743	1240	1433
Atp8b5	7	9	3	4	24	7	3	12
Atp9a	17	10	5	0	6	16	7	10
Atp9b	471	514	373	343	455	283	465	514
Atpaf1	36	40	17	14	35	16	35	21
Atpaf2	131	113	89	78	105	167	177	156
Atpif1	103	120	57	92	90	154	95	103
Atr	149	148	106	79	142	73	131	95
Atraid	297	439	223	284	342	470	436	410
Atrip	21	32	12	16	19	11	16	16
Atrn	272	287	134	161	218	234	358	196
Atrnl1	438	397	308	271	313	382	506	647
Atrx	814	1128	623	661	1033	1165	909	1053
